filename,width,height,xmin,ymin,xmax,ymax
pic_564.jpg,1024,1024,53,296,981,676
pic_570.jpg,500,369,23,58,485,301
yoto10412.png,1280,720,133,296,659,446
pic_766.jpg,2844,1896,861,339,1475,584
pic_014.jpg,810,456,42,31,784,425
foto01683.png,1280,720,585,58,1020,417
pic_772.jpg,480,480,55,74,480,462
pic_982.jpg,600,447,171,182,404,294
moto05772.png,1280,720,562,1,968,306
pic_028.jpg,1500,1500,54,155,1472,737
foto01654.png,1280,720,590,70,1051,463
pic_799.jpg,800,800,128,272,793,687
moto08295.png,1280,720,527,82,1015,520
foto00204.png,1280,720,597,269,686,341
pic_174.png,1500,709,55,26,1458,578
moto00030.png,1280,720,694,285,970,518
pic_148.jpg,270,270,7,57,225,179
pic_1068.jpg,600,800,116,146,422,532
pic_835.jpg,430,230,35,2,390,191
pic_1054.png,325,260,88,109,237,170
foto04670.png,1280,720,559,390,796,526
pic_821.jpg,576,768,2,76,575,671
pic_376.jpg,250,250,1,13,243,234
moto01886.png,1280,720,452,61,1042,606
moto16444.png,1280,720,640,342,859,551
pic_410.png,770,330,365,30,486,136
pic_362.png,696,392,153,34,593,323
moto15603.png,1280,720,682,349,876,450
pic_389.jpg,2000,1333,564,486,1682,739
foto14675.png,1280,720,615,338,646,363
foto02002.png,1280,720,382,201,855,589
pic_388.jpeg,360,360,6,15,350,354
foto04467.png,1280,720,194,42,813,440
yoto02611.png,1280,720,279,110,963,420
pic_439.jpg,600,338,31,30,152,99
pic_363.jpg,640,360,109,63,569,286
pic_411.jpg,1280,720,64,182,1031,379
yoto01132.png,1280,720,249,72,922,603
pic_820.jpg,1024,576,165,108,794,422
pic_834.jpg,640,640,5,167,640,408
pic_808.jpg,350,350,4,27,275,206
moto00958.png,1280,720,382,191,973,720
foto05221.png,1280,720,227,7,1072,376
pic_1082.jpg,600,395,67,37,379,200
moto03510.png,1280,720,680,10,1030,246
pic_1096.jpg,580,390,74,28,519,368
pic_149.jpg,800,800,40,346,773,626
pic_161.jpeg,832,309,19,8,832,303
pic_175.jpg,620,349,52,100,588,217
pic_1135.jpg,800,400,166,97,530,277
pic_954.jpg,500,334,107,61,376,304
pic_798.jpg,856,285,220,21,732,224
pic_940.jpg,1920,1440,565,651,1825,1440
pic_1121.jpg,300,225,102,153,218,204
moto16096.png,1280,720,762,225,844,270
pic_029.jpeg,450,450,6,135,446,314
moto15574.png,1280,720,679,338,793,400
pic_983.jpeg,960,720,365,395,490,491
pic_015.jpg,300,300,32,81,266,202
pic_773.jpg,468,468,182,140,378,259
pic_767.jpg,680,434,57,58,601,286
pic_001.jpg,500,500,5,93,493,405
moto15951.png,1280,720,727,239,1034,434
pic_559.png,750,422,131,106,617,358
foto01480.png,1280,720,534,7,1079,498
pic_571.jpg,300,197,15,16,298,111
pic_217.jpg,270,270,9,41,268,177
pic_203.jpg,600,450,48,58,565,281
moto16241.png,1280,720,1107,155,1201,211
pic_215.png,1400,632,10,68,1355,446
pic_573.jpg,810,456,59,88,787,361
pic_567.jpg,660,330,109,54,517,148
pic_201.jpeg,600,360,16,23,600,225
pic_229.jpg,740,418,28,41,726,375
foto00987.png,1280,720,382,127,916,581
foto05627.png,1280,720,458,141,801,346
pic_017.jpg,355,237,23,33,333,179
pic_003.jpg,2400,1801,267,405,2230,1413
pic_765.jpg,800,800,99,270,731,624
pic_759.jpg,613,613,29,206,603,404
pic_981.jpg,1000,671,203,97,784,291
pic_942.jpg,1300,1065,307,38,946,480
pic_177.jpg,1000,1000,32,255,987,520
pic_1080.jpg,450,320,130,77,318,168
foto01045.png,1280,720,347,155,839,612
pic_822.png,1200,630,810,155,1014,303
pic_1043.jpg,1500,1125,314,429,1187,722
pic_1057.jpg,1440,566,944,89,1440,447
pic_188.jpg,868,488,133,82,712,406
pic_836.jpg,516,389,59,79,441,312
